蒸发量,降雨量,径流量,降雨量_log,径流量_log,蒸发量_std
26.3,44.9,1832.1,3.8264651170664994,7.513763801725319,-1.1155823129245623
26.0,139.4,5032.2,4.944495491591711,8.523811243717812,-1.124908687972716
45.0,177.8,10526.7,5.186267862739414,9.261765157718367,-0.5342382682563243
48.6,127.6,5532.1,4.856706811803519,8.618503516112703,-0.42232176767848156
70.4,111.4,3258.4,4.722063937459591,8.089298408341888,0.25539481915401013
82.2,136.4,2577.2,4.922896379788249,7.854846760009004,0.6222322377147165
126.4,91.7,1084.5,4.529368472571809,6.989795989318346,1.9963181614760066
114.3,123.2,927.5,4.821893169499378,6.833570380792761,1.6201543678671466
78.4,141.9,1125.8,4.9621450849358215,7.027137036002218,0.5040981537714382
65.1,38.6,610.7,3.6788291182604347,6.416241966248519,0.09062885996996367
40.0,49.7,620.4,3.9259259105971376,6.431974996958947,-0.6896778523922168
33.6,31.6,921.4,3.484312288372662,6.826978968954849,-0.8886405200861592
24.9,84.9,1901.2,4.45318382899021,7.5507663900482855,-1.1591053964826123
42.5,81.8,1047.6,4.416428061391214,6.955211220138432,-0.6119580603242706
50.7,54.1,2020.0,4.009149716158869,7.611347717403621,-0.35703714234140665
66.8,95.5,1195.0,4.56954300834494,7.086737934510577,0.14347831857616722
81.4,203.1,5695.4,5.318610069815799,8.647589675345273,0.5973619042529738
74.2,150.3,3974.6,5.01926462079431,8.28793095909385,0.37352890309728837
144.2,114.1,1646.1,4.745801315727837,7.40677144478863,2.5496830809997837
103.5,171.3,1581.6,5.149237143533884,7.366824343175093,1.2844048661336187
62.1,118.2,2727.4,4.7808027546312495,7.911470635780565,-0.0026348905115716496
76.4,5.2,877.3,1.824549292051046,6.7779882209230715,0.4419223201170812
50.3,54.1,1030.7,4.009149716158869,6.93896320610633,-0.36947230907227824
34.1,84.7,1225.6,4.450852825603734,7.112001393191883,-0.87309656167257
33.3,78.3,2750.4,4.373238128640803,7.919865152026896,-0.8979668951343129
20.5,161.6,6866.8,5.0912931971137105,8.83459910103424,-1.2958922305221978
55.6,63.8,1317.0,4.1713056033582285,7.183870715062453,-0.20470634988823197
88.0,84.1,1408.1,4.443827035579329,7.250706481701059,0.8025421553123517
73.5,76.8,1852.4,4.354141431184346,7.5247770691525915,0.35176736131826336
134.8,22.6,181.4,3.1612467120315646,5.206202077640231,2.2574566628243065
136.9,273.7,4507.8,5.615679593101228,8.413786321704361,2.322741288161381
109.5,237.4,6045.1,5.473949935191195,8.707168715063686,1.4709323670966898
87.9,69.7,2009.4,4.258445572902527,7.606088986229382,0.7994333636296341
58.9,92.9,931.3,4.542230386214217,6.837654651302648,-0.10211622435854298
38.8,91.0,1302.3,4.5217885770490405,7.172654788536674,-0.7269833525848312
33.5,36.5,675.0,3.624340932976365,6.516193076042964,-0.8917493117688772
19.5,129.0,4698.7,4.867534450455582,8.455253955873708,-1.3269801473493763
23.8,99.6,3513.5,4.611152257665639,8.16465254661596,-1.1933021049925085
58.9,37.1,2161.7,3.6402142821326553,7.679112720078643,-0.10211622435854298
73.5,122.8,3704.1,4.818667360250496,8.217465527919256,0.35176736131826336
65.0,218.3,6348.2,5.390440655423842,8.756084099698086,0.087520068287246
77.5,128.9,2785.9,4.866764923676554,7.932685145962721,0.4761190286269774
111.6,218.7,5299.3,5.392262979390565,8.575518701711864,1.5362169924337645
135.5,69.7,256.0,4.258445572902527,5.54907608489522,2.279218204603331
61.6,86.1,919.6,4.467056883858457,6.8250256313831414,-0.018178848925160907
62.3,5.7,297.4,1.9021075263969205,5.698434868329605,0.0035826928538639203
40.3,103.9,966.0,4.653007515402251,6.874198495453294,-0.6803514773440633
32.4,16.1,688.2,2.8390784635086144,6.5355315046537745,-0.9259460202787736
24.3,88.0,1633.4,4.48863636973214,7.399031043503412,-1.1777581465789193
31.3,56.5,829.0,4.051784947803305,6.721425700790643,-0.9601427287886698
46.1,164.1,5563.0,5.1065513509260825,8.624072553043334,-0.5000415597464278
67.2,161.2,3600.7,5.088830141681313,8.1891612352046,0.1559134853070388
85.6,55.1,1445.2,4.027135812528651,7.2766947057408515,0.7279311549271231
67.7,166.3,3187.8,5.119788607992779,8.06739994945853,0.17145744372062807
134.8,162.1,3846.0,5.094363509626968,8.255048902752295,2.2574566628243065
124.6,85.4,1612.0,4.45898767581001,7.385851078125209,1.940359911187085
68.0,143.7,1705.0,4.974662633637438,7.441906728051625,0.18078381876878152
61.9,203.1,6571.9,5.318610069815799,8.790710414394614,-0.00885247387700744
45.3,24.2,576.5,3.2268439945173775,6.358708442395948,-0.5249118932081708
25.8,47.3,553.0,3.877431560658527,6.317164686747284,-1.1311262713381516
25.2,102.8,1900.7,4.642465970731788,7.5505035019582305,-1.149779021434459
33.4,61.8,2414.0,4.139955073474153,7.789454566086673,-0.894858103451595
54.1,46.9,820.3,3.8691155044168695,6.710888450746147,-0.2513382251289997
53.0,99.6,2728.1,4.611152257665639,7.911727163496126,-0.28553493363889615
101.9,125.1,1781.6,4.837075242970874,7.485828251696617,1.2346641992101333
64.5,516.1,21521.7,6.2482362794021755,9.9768634710897,0.07197610987365674
110.0,261.3,3568.5,5.569488886872828,8.180180808942515,1.486476325510279
92.7,118.9,2518.9,4.786658062033468,7.831974497178414,0.9486553644000909
67.2,55.1,1339.1,4.027135812528651,7.2004995170261825,0.1559134853070388
57.2,66.2,889.5,4.207673247529104,6.791783102729716,-0.1549656829647463
43.5,132.9,4785.2,4.897093252697127,8.473492056145139,-0.580870143497092
38.4,21.3,581.9,3.104586678466073,6.368015645051504,-0.7394185193157025
27.4,34.1,799.03,3.55820113047182,6.68464922696482,-1.0813856044146661
27.0,216.2,6608.3,5.38081858805978,8.796233027086629,-1.0938207711455374
43.4,114.4,6156.9,4.748404354073999,8.725491089313943,-0.5839789351798099
69.2,107.6,4035.1,4.687671407499835,8.303034158173492,0.21808931896139583
102.6,85.4,1159.9,4.45898767581001,7.05695084534399,1.256425740989158
97.9,133.8,888.9,4.9037921984782065,6.791109096862817,1.1103125319014193
119.1,186.0,5588.63,5.231108616854587,8.628668374334186,1.7693763686376034
83.5,270.2,15289.9,5.60285655606624,9.635013159192116,0.6626465295900484
63.1,74.9,623.11,4.3294166844015844,6.436326634884855,0.028453026315606863
70.5,10.1,621.0,2.4069451083182885,6.432940092739179,0.2585036108367278
39.1,178.5,3094.5,5.190175207928333,8.037704722959287,-0.7176569775366775
28.4,63.6,1955.0,4.168214410788556,7.578656850594762,-1.0502976875874876
25.6,46.8,817.9,3.86702563949741,6.707961976276143,-1.1373438547035872
24.4,160.0,6861.0,5.081404364984463,8.833754223418396,-1.1746493548962016
48.3,333.1,19665.0,5.8114403493627105,9.886646535340102,-0.43164814272663526
52.6,133.5,5479.0,4.901564199041894,8.608860379942062,-0.2979701003697675
65.4,69.8,1792.0,4.259859000699674,7.491645473605133,0.09995523501811757
70.3,142.5,2114.0,4.966335035199676,7.656810091480378,0.25228602747129203
93.6,163.1,5400.0,5.100475998096045,8.594339400592892,0.9766344895445512
137.4,64.5,1565.0,4.182050142641207,7.356279876550748,2.33828524657497
74.1,88.3,1071.0,4.492001487882454,6.977281341630747,0.37042011141457026
54.7,140.3,3710.6,4.950885289690482,8.219218329479025,-0.2326854750326926
40.6,13.6,859.5,2.681021528714291,6.757513615651594,-0.6710251022959096
39.6,73.5,1616.0,4.310799125385514,7.388327859577107,-0.7021130191230882
24.7,77.8,1359.0,4.366912996863833,7.215239978730097,-1.1653229798480482
30.8,20.1,1314.3,3.0492730404820207,7.181820055474733,-0.9756866872022592
53.4,40.1,1502.2,3.716008121502189,7.315351448099255,-0.2730997669080248
77.4,61.5,979.4,4.135166556742356,6.887960651653957,0.4730102369442597
96.3,115.5,1487.9,4.757891273005756,7.305792871261505,1.0605718649779334
50.6,525.0,22498.0,6.26530121273771,10.021226142760383,-0.36014593402412454
110.2,68.5,3617.0,4.241326752570746,8.193676665955241,1.4926939088757147
98.3,221.5,5696.0,5.404927101606295,8.647694999480395,1.1227476986322904
73.5,109.5,2895.0,4.705015520957808,7.971085753505607,0.35176736131826336
51.6,49.8,1607.0,3.927896354584436,7.382746449738912,-0.32905801719694605
31.6,56.8,1074.0,4.056988775678332,6.980075940561763,-0.9508163537405163
32.1,25.4,811.5,3.2733640101522705,6.700115914203892,-0.935272395326927
19.9,142.0,3253.0,4.962844630259907,8.087640287778983,-1.314544980618505
23.4,128.3,5187.0,4.8621352857778115,8.554103545436334,-1.20573727172338
38.7,256.6,14688.0,5.551407994230199,9.594854193331415,-0.7300921442675488
73.0,138.5,4127.0,4.93806460126142,8.325548307161398,0.33622340290467406
78.0,174.5,4628.0,5.167639042905921,8.44009614103127,0.49166298704056666
54.8,257.0,11987.1,5.552959584921617,9.39166977007677,-0.2295766833499749
126.5,75.0,2639.0,4.330733340286331,7.878534196140362,1.9994269531587243
92.6,234.0,9887.0,5.459585514144159,9.199077179697472,0.9455465727173727
78.2,155.5,5688.3,5.0530560099802075,8.646342496705346,0.4978805704060024
74.8,40.5,619.1,3.7256934272366524,6.429880755355832,0.3921816531935953
38.7,87.7,1141.6,4.485259889315534,7.041061646290362,-0.7300921442675488
29.4,125.6,3164.6,4.841032509710076,8.060097890071214,-1.0192097707603092
18.9,43.5,2235.9,3.7954891891721947,7.712846257764067,-1.3456328974456835
17.6,128.3,3678.9,4.8621352857778115,8.210640856880715,-1.3860471893210153
48.2,113.0,4904.9,4.736198448394496,8.498193841406454,-0.4347569344093529
77.7,90.5,2174.2,4.516338972281476,7.684875893318261,0.4823366119924132
78.6,117.0,3361.5,4.770684624465665,8.120440023910094,0.5103157371368736
58.5,376.5,16090.3,5.933570568689079,9.686034032247818,-0.11455139108941434
157.6,22.0,1759.2,3.1354942159291497,7.473182717939712,2.9662611664839758
131.6,224.5,2022.8,5.418320158942733,7.6127322112956595,2.1579753289773347
75.0,55.0,809.8,4.02535169073515,6.698021414577845,0.3983992365590311
59.8,278.5,8967.8,5.633002292595154,9.101507166839383,-0.07413709921408236
43.8,25.5,671.7,3.2771447329921766,6.51129946503156,-0.5715437684489385
28.5,67.9,1260.0,4.232656178019613,7.13966033596492,-1.0471888959047697
25.9,28.3,975.6,3.3775875160230218,6.88407715162756,-1.1280174796554339
17.9,160.1,3092.2,5.082025290182929,8.03696143273488,-1.376720814272862
48.6,59.3,3994.8,4.09933210373314,8.292999088465848,-0.42232176767848156
50.3,91.0,2546.4,4.5217885770490405,7.842828510155659,-0.36947230907227824
82.0,149.6,4607.5,5.014627315365793,8.43565770343372,0.6160146543492807
80.7,166.6,2791.9,5.121580188047982,7.934835761509003,0.5756003624739487
85.7,205.7,8084.8,5.331268466687723,8.997864715786488,0.7310399466098413
64.0,168.3,7882.1,5.13167228913909,8.972476506505263,0.05643215146006748
