样本索引,实际径流量,预测径流量,残差
110,675.0000000000001,1191.6114242068002,-516.6114242068
111,5828.000000000003,2119.56663357868,3708.4333664213227
112,4628.000000000001,4745.437348286036,-117.43734828603465
113,2413.999999999999,1944.710344369141,469.2896556308581
114,8921.100000000006,4477.162287990914,4443.937712009092
115,4870.800000000005,3387.1796562888517,1483.620343711153
116,11059.000000000005,6484.445889115205,4574.5541108848
117,6982.099999999999,5057.535643578933,1924.5643564210668
118,13614.999999999996,8429.179360973365,5185.820639026631
119,1047.5999999999997,2485.706115990153,-1438.1061159901535
120,2639.0,1958.0346298263353,680.9653701736647
121,1228.9999999999998,2064.8076386052517,-835.8076386052519
122,5479.000000000003,3865.8163667336707,1613.183633266332
123,9827.0,5728.850086638145,4098.149913361855
124,355.9999999999999,40.65391779433462,315.34608220566525
125,6067.300000000001,3847.5288242030892,2219.771175796912
126,1502.1999999999994,1252.4442069770532,249.75579302294614
127,4785.199999999999,3915.5742686234826,869.6257313765163
128,1740.6,3924.2412187523782,-2183.6412187523783
129,553.0000000000001,1537.373640059375,-984.3736400593749
130,1759.2000000000005,593.5366845119498,1165.6633154880506
131,3970.8,4368.3947911278565,-397.5947911278563
132,1225.5999999999995,2608.9869363990565,-1383.386936399057
133,14537.200000000006,8527.37399806672,6009.8260019332865
134,1073.9999999999998,1803.4649644980452,-729.4649644980454
135,3600.700000000003,4493.335951635563,-892.6359516355601
136,9072.000000000005,6700.456539092009,2371.5434609079966
137,3974.6000000000013,4151.474751096987,-176.87475109698607
138,5085.0999999999985,4690.7124199421005,394.38758005789805
139,1781.6000000000001,3315.734653383333,-1534.1346533833328
140,6636.500000000001,6333.954165405496,302.5458345945053
141,1027.9999999999998,626.9551974008804,401.0448025991194
142,889.4999999999997,1983.4710080500988,-1093.971008050099
143,1789.7999999999995,750.1315158549017,1039.6684841450979
144,1539.9999999999995,1482.5316392875973,57.46836071240227
145,15568.000000000031,10760.471324866148,4807.528675133883
146,12831.100000000011,8401.930668950408,4429.169331049603
147,781.0000000000001,1192.3188427458342,-411.3188427458341
148,1852.3999999999992,2210.87901713596,-358.47901713596093
149,2235.9000000000005,1440.779225758731,795.1207742412696
150,25465.1,9766.86163613379,15698.238363866209
151,1155.1000000000001,1455.4788028242815,-300.37880282428137
152,6045.099999999996,5983.211196834118,61.888803165878016
153,979.3999999999996,1782.8021549477182,-803.4021549477186
154,1317.0,1921.9013378218472,-604.9013378218472
155,2255.699999999998,3676.556661281609,-1420.8566612816112
156,3801.0000000000023,2262.606920044389,1538.3930799556133
157,1226.2,1888.097443926054,-661.8974439260539
158,5588.630000000001,4666.925941593178,921.7040584068227
159,2408.7999999999997,882.8444418832305,1525.9555581167692
160,3132.9999999999977,2550.056612558448,582.9433874415499
161,9594.100000000006,6694.606966382228,2899.4930336177777
162,2560.6,3484.343765301865,-923.7437653018651
163,930.9999999999998,2124.759637301386,-1193.7596373013864
164,809.7999999999998,1613.505649899839,-803.7056498998392
165,1563.9999999999998,1702.5557525980566,-138.55575259805687
166,7760.000000000005,4525.698454882238,3234.301545117766
167,11231.999999999993,3650.330191216654,7581.669808783339
168,1858.9999999999995,1664.950732049391,194.0492679506085
169,14310.00000000001,7352.119186664237,6957.8808133357725
170,1352.5999999999997,2936.8300872080126,-1584.230087208013
171,5563.000000000001,4753.627567860885,809.3724321391155
172,2367.9000000000005,909.3610924027769,1458.5389075972237
173,3163.999999999999,1990.8390999980402,1173.160900001959
174,5400.000000000005,4324.240621681276,1075.7593783187285
175,1511.7000000000005,5083.273764147773,-3571.5737641477726
176,3819.8999999999987,4834.008552898055,-1014.1085528980566
177,5295.999999999995,5132.456645718861,163.54335428113427
178,3568.499999999998,6544.979636025888,-2976.4796360258897
179,6184.299999999998,4519.994780546271,1664.3052194537277
180,976.6999999999998,236.90639009214223,739.7936099078576
181,2728.1000000000004,2932.2034373516417,-204.10343735164133
182,6268.0,5223.150208062908,1044.849791937092
183,1705.0000000000005,4025.8365045259657,-2320.836504525965
184,8029.999999999993,5238.349210595663,2791.6507894043298
185,3836.1999999999966,1104.0742689757715,2732.1257310242254
186,1887.1000000000004,2301.7564313992875,-414.65643139928716
187,986.0000000000003,2142.395547350234,-1156.3955473502338
188,10132.600000000019,4581.616649340245,5550.983350659773
189,1580.0999999999997,1233.2120298641057,346.88797013589397
190,10308.000000000002,6208.829301254074,4099.170698745927
191,817.9000000000001,1522.8275331184282,-704.9275331184281
192,1290.2000000000005,2892.391371305979,-1602.1913713059787
193,5342.0,4235.4991277858935,1106.5008722141065
194,2969.0000000000014,2347.5542765155487,621.4457234844526
195,948.9000000000002,2312.0047997583233,-1363.1047997583232
196,1060.8,1301.4139805902785,-240.61398059027852
197,10402.000000000013,9302.471376850375,1099.5286231496375
198,2546.3999999999996,2707.365909332871,-160.96590933287143
199,3474.3,4144.938322318405,-670.6383223184048
200,661.0,252.23952454933064,408.76047545066933
201,1480.2,1472.402503066645,7.797496933354978
202,4192.999999999997,5964.8508926474815,-1771.8508926474842
203,6872.999999999994,4707.075151460867,2165.9248485391263
204,8967.800000000008,7636.42281841329,1331.3771815867185
205,2113.9999999999995,3976.981947576743,-1862.9819475767436
206,2962.699999999999,4714.320872209405,-1751.6208722094061
207,4245.9000000000015,4893.5594266883545,-647.659426688353
208,1141.5999999999995,2672.499066923136,-1530.8990669231366
209,5331.7000000000035,4953.514824715247,378.18517528475604
210,931.3,2716.333033074096,-1785.033033074096
211,17331.399999999994,11249.748524887076,6081.651475112918
